x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
6.0876888,15.5988222,0.4013144,0.4013144,-0.0821419,8.4999725,1.5
6.2718269,15.6769600,0.3834449,0.3834449,-0.0894314,8.4999593,1.5
6.4573295,15.7517941,0.3643830,0.3643830,-0.0954276,8.4999216,1.5
6.6442180,15.8230762,0.3443443,0.3443443,-0.1003119,8.4996212,1.5
6.8324799,15.8905930,0.3234714,0.3234714,-0.1044423,8.4965416,1.5
7.0221028,15.9541634,0.3018357,0.3018357,-0.1082651,8.4942341,1.5
7.2130719,16.0136214,0.2795459,0.2795459,-0.1114883,8.4968057,1.5
7.4053306,16.0688117,0.2567081,0.2567081,-0.1141620,8.4988605,1.5
7.5988066,16.1195991,0.2333645,0.2333645,-0.1166772,8.4996916,1.5
7.7934177,16.1658572,0.2095246,0.2095246,-0.1191492,8.4999356,1.5
7.9890734,16.2074625,0.1851973,0.1851973,-0.1215809,8.4999951,1.5
8.1856764,16.2442949,0.1603923,0.1603923,-0.1239819,8.4999225,1.5
8.3831223,16.2762381,0.1351249,0.1351249,-0.1263143,8.4997133,1.5
8.5813006,16.3031811,0.1094314,0.1094314,-0.1284705,8.4994026,1.5
8.7800949,16.3250227,0.0833669,0.0833669,-0.1303563,8.4989573,1.5
8.9793838,16.3416754,0.0569987,0.0569987,-0.1319081,8.4982945,1.5
9.1790420,16.3530680,0.0304109,0.0304109,-0.1330319,8.4973113,1.5
9.3789415,16.3591490,0.0037118,0.0037118,-0.1336002,8.4959110,1.5
9.5789519,16.3598914,-0.0229549,-0.0229549,-0.1334444,8.4940197,1.5
9.7789396,16.3552999,-0.0494058,-0.0494058,-0.1323541,8.4915956,1.5
9.9787676,16.3454192,-0.0754054,-0.0754054,-0.1300797,8.4886315,1.5
10.1782934,16.3303453,-0.1006570,-0.1006570,-0.1263433,8.4851532,1.5
10.3773699,16.3102389,-0.1248071,-0.1248071,-0.1208662,8.4812167,1.0
10.5758512,16.2853376,-0.1474563,-0.1474563,-0.1134279,8.4769036,1.0
10.7736074,16.2559640,-0.1682072,-0.1682072,-0.1039904,8.4723179,1.0
10.9705584,16.2225194,-0.1867646,-0.1867646,-0.0928664,8.4675800,1.0
11.1668939,16.1854185,-0.2031317,-0.2031317,-0.0813071,8.4628261,1.5
11.3628628,16.1450543,-0.2183289,-0.2183289,-0.0754874,8.4582171,1.5
11.5578788,16.1017870,-0.2332838,-0.2332838,-0.0745888,8.4538593,1.5
11.7524132,16.0555637,-0.2488726,-0.2488726,-0.0773735,8.4498421,1.5
11.9462144,16.0063108,-0.2664044,-0.2664044,-0.0875594,8.4462731,1.5
12.1389053,15.9537272,-0.2861042,-0.2861042,-0.0987036,8.4432640,1.5
12.3306725,15.8973141,-0.3078019,-0.3078019,-0.1086777,8.4408611,1.5
