x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
26.8763568,-79.0968724,2.8106775,2.8106775,-0.0721427,8.4999651,1.274995
26.6872183,-79.0318943,2.7978479,2.7978479,-0.0641608,8.4999654,1.274995
26.4989205,-78.9644920,2.7867040,2.7867040,-0.0557010,8.4999657,1.274995
26.3113810,-78.8949939,2.7772234,2.7772234,-0.0473485,8.4999659,1.274995
26.1245076,-78.8237205,2.7692976,2.7692976,-0.0395445,8.4999661,1.274995
25.9382064,-78.7509688,2.7627721,2.7627721,-0.0325315,8.4999662,1.274995
25.7523873,-78.6770043,2.7574754,2.7574754,-0.0263797,8.4999664,1.274995
25.5669737,-78.6020611,2.7532454,2.7532454,-0.0210537,8.4999665,1.274995
25.3819069,-78.5263458,2.7499353,2.7499353,-0.0164718,8.4999666,1.274995
25.1970859,-78.4500159,2.7474174,2.7474174,-0.0125224,8.4999667,1.274995
25.0124529,-78.3732189,2.7455827,2.7455827,-0.0091150,8.4999668,1.274995
24.8279573,-78.2960817,2.7443388,2.7443388,-0.0061717,8.4999669,1.274995
24.6435548,-78.2187138,2.7436044,2.7436044,-0.0036274,8.4999671,1.274995
24.4592068,-78.1412095,2.7433106,2.7433106,-0.0014288,8.4999672,1.274995
24.2748798,-78.0636503,2.7433967,2.7433967,0.0004681,8.4999673,1.274995
24.0905450,-77.9861065,2.7438090,2.7438090,0.0020992,8.4999674,1.274995
23.9061916,-77.9086443,2.7445006,2.7445006,0.0034912,8.4999675,1.274995
23.7217889,-77.8313114,2.7454284,2.7454284,0.0046670,8.4999676,1.274995
23.5373133,-77.7541491,2.7465542,2.7465542,0.0056555,8.4999677,1.274995
23.3527482,-77.6771934,2.7478455,2.7478455,0.0064474,8.4999679,1.274995
23.1680873,-77.6004775,2.7493249,2.7493249,0.0072841,8.4999679,1.274995
22.9832805,-77.5240214,2.7510830,2.7510830,0.0091046,8.4999680,1.274995
22.7983104,-77.4478783,2.7527430,2.7527430,0.0082117,8.4999680,1.274995
22.6132506,-77.3720573,2.7542507,2.7542507,0.0075260,8.4999680,1.274995
22.4280936,-77.2965223,2.7556902,2.7556902,0.0072089,8.4999679,1.274995
22.2428229,-77.2212518,2.7570563,2.7570563,0.0068374,8.4999679,1.274995
22.0574523,-77.1462356,2.7583225,2.7583225,0.0063393,8.4999678,1.274995
21.8719867,-77.0714541,2.7594633,2.7594633,0.0057104,8.4999678,1.274995
21.6864366,-76.9968845,2.7604490,2.7604490,0.0049377,8.4999677,1.274995
21.5008135,-76.9224980,2.7612489,2.7612489,0.0040076,8.4999677,1.274995
21.3151312,-76.8482601,2.7618276,2.7618276,0.0029028,8.4999676,1.274995
21.1294063,-76.7741298,2.7621459,2.7621459,0.0016040,8.4999675,1.274995
20.9436580,-76.7000587,2.7621622,2.7621622,0.0000901,8.4999675,1.274995
20.7579087,-76.6259907,2.7618273,2.7618273,-0.0016611,8.4999674,1.274995
20.5721842,-76.5518605,2.7610902,2.7610902,-0.0036721,8.4999674,1.274995
20.3865146,-76.4775935,2.7598946,2.7598946,-0.0059650,8.4999673,1.274995
20.2009340,-76.4031046,2.7581797,2.7581797,-0.0085603,8.4999672,1.274995
20.0154815,-76.3282976,2.7558812,2.7558812,-0.0114763,8.4999672,1.274995
19.8302016,-76.2530646,2.7529325,2.7529325,-0.0147281,8.4999671,1.274995
19.6451446,-76.1772857,2.7492641,2.7492641,-0.0183269,8.4999671,1.274995
19.4603672,-76.1008286,2.7448045,2.7448045,-0.0222803,8.4999670,1.274995
19.2759330,-76.0235484,2.7394832,2.7394832,-0.0265923,8.4999669,1.274995
19.0919132,-75.9452881,2.7332267,2.7332267,-0.0312631,8.4999669,1.274995
18.9083875,-75.8658784,2.7259655,2.7259655,-0.0362926,8.4999670,1.274995
18.7254442,-75.7851386,2.7176268,2.7176268,-0.0416773,8.4999672,1.274995
18.5431818,-75.7028767,2.7081443,2.7081443,-0.0473966,8.4999674,1.274995
18.3617091,-75.6188909,2.6974473,2.6974473,-0.0534706,8.4999678,1.274995
18.1811470,-75.5329696,2.6854732,2.6854732,-0.0598801,8.4999682,1.274995
