x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
-3.6317316,24.8220996,0.0330992,0.0330992,0.0000080,8.4999677
-3.4318844,24.8287168,0.0331012,0.0331012,0.0000102,8.4999677
-3.2320372,24.8353344,0.0331037,0.0331037,0.0000124,8.4999677
-3.0321900,24.8419525,0.0331067,0.0331067,0.0000146,8.4999677
-2.8323428,24.8485712,0.0331097,0.0331097,0.0000168,8.4999677
-2.6324956,24.8551905,0.0331137,0.0331137,0.0000188,8.4999677
-2.4326485,24.8618106,0.0331182,0.0331182,0.0000207,8.4999677
-2.2328014,24.8684316,0.0331222,0.0331222,0.0000224,8.4999677
-2.0329543,24.8750534,0.0331272,0.0331272,0.0000238,8.4999677
-1.8331073,24.8816762,0.0331322,0.0331322,0.0000249,8.4999677
-1.6332603,24.8883000,0.0331372,0.0331372,0.0000254,8.4999677
-1.4334133,24.8949248,0.0331422,0.0331422,0.0000255,8.4999677
-1.2335664,24.9015506,0.0331472,0.0331472,0.0000249,8.4999677
-1.0337195,24.9081774,0.0331517,0.0331517,0.0000235,8.4999677
-0.8338726,24.9148051,0.0331563,0.0331563,0.0000213,8.4999677
-0.6340258,24.9214337,0.0331597,0.0331597,0.0000181,8.4999677
-0.4341789,24.9280630,0.0331622,0.0331622,0.0000138,8.4999677
-0.2343321,24.9346928,0.0331642,0.0331642,0.0000082,8.4999677
-0.0344853,24.9413230,0.0331647,0.0331647,0.0000013,8.4999677
0.1653615,24.9479533,0.0331627,0.0331627,-0.0000072,8.4999677
0.3652083,24.9545832,0.0331593,0.0331593,-0.0000172,8.4999677
0.5650551,24.9612124,0.0331538,0.0331538,-0.0000290,8.4999677
0.7649019,24.9678405,0.0331452,0.0331452,-0.0000426,8.4999677
0.9647489,24.9744669,0.0331337,0.0331337,-0.0000581,8.4999677
1.1645959,24.9810910,0.0331182,0.0331182,-0.0000754,8.4999677
1.3644430,24.9877120,0.0330992,0.0330992,-0.0000946,8.4999677
1.5642902,24.9943292,0.0330767,0.0330767,-0.0001156,8.4999677
1.7641376,25.0009419,0.0330487,0.0330487,-0.0001383,8.4999677
